repo,branch,git_path,file_name
so-fancy/diff-so-fancy,,third_party/build_fatpack/diff-so-fancy
heziode/emojify
devkral/lightsonplus,,lightson+
pipeseroni/pipes.sh,,pipes.sh,screensaver
greymd/tmux-xpanes,,bin/xpanes
dylanaraps/fff,,fff
